Semiconductors,gap
Cs2Zn1Sn1Te4_kesterite,1.73
Cs2Zn1Sn1Te4_stannite,0.66
Cu0.5Ag0.5Al0.5In0.5S1Se1_kesterite,1.47
Cu0.5Ag0.5Al0.5In0.5S1Se1_stannite,1.41
Cu0.5Ag0.5Al0.5In0.5S1Te1_kesterite,1.25
Cu0.5Ag0.5Al0.5In0.5S1Te1_stannite,0.47
Cu0.5Ag0.5Al0.5In0.5S2_kesterite,1.78
Cu0.5Ag0.5Al0.5In0.5S2_stannite,1.37
Cu0.5Ag0.5Al0.5In0.5Se2_kesterite,1.37
Cu0.5Ag0.5Al0.5In0.5Se2_stannite,1.12
Cu0.5Ag0.5Al1S1Te1_kesterite,1.72
Cu0.5Ag0.5Al1S1Te1_stannite,0.88
Cu0.5Ag0.5Al1Se1Te1_kesterite,1.68
Cu0.5Ag0.5Al1Se1Te1_stannite,0.98
Cu0.5Ag0.5Al1Te2_kesterite,1.76
Cu0.5Ag0.5Al1Te2_stannite,1.19
Cu0.5Ag0.5Ga0.5In0.5S2_kesterite,1.44
Cu0.5Ag0.5Ga0.5In0.5S2_stannite,1.16
Cu0.5Ag0.5Ga0.5In0.5Se2_kesterite,1.01
Cu0.5Ag0.5Ga0.5In0.5Se2_stannite,0.6
Cu0.5Ag0.5Ga0.5In0.5Te2_kesterite,0.78
Cu0.5Ag0.5Ga0.5In0.5Te2_stannite,0.46
Cu0.5Ag0.5Ga1S1Te1_kesterite,1.15
Cu0.5Ag0.5Ga1S1Te1_stannite,0.15
Cu0.5Ag0.5Ga1S2_kesterite,1.92
Cu0.5Ag0.5Ga1S2_stannite,1.45
Cu0.5Ag0.5Ga1Se2_kesterite,1.34
Cu0.5Ag0.5Ga1Se2_stannite,0.84
Cu0.5Ag0.5Ga1Te2_stannite,0.41
Cu0.5Ag0.5In1Se1Te1_kesterite,0.52
Cu0.5Ag0.5In1Se1Te1_stannite,0.31
